trade_id,factor_name,factor_value,factor_threshold,contribution
qw0w6lqs,rsi_14,50.01,70,0.40
qw0w6lqs,atr_mult,47.68,2.5,0.65
qw0w6lqs,macd_hist,88.30,,-0.36
qw0w6lqs,vwap_dist,80.46,,-0.84
2qeg86kw,rsi_14,15.56,30,-0.43
2qeg86kw,atr_mult,78.93,2.5,0.60
p9n52pqm,rsi_14,36.94,70,0.26
p9n52pqm,atr_mult,19.31,2.5,0.99
1iyocqzk,rsi_14,72.98,70,0.06
1iyocqzk,atr_mult,72.68,2.5,-0.48
1iyocqzk,macd_hist,87.54,,-0.46
1iyocqzk,vwap_dist,22.20,,0.16
mbci2j10,rsi_14,56.59,30,-0.28
mbci2j10,atr_mult,86.44,2.5,-0.44
mbci2j10,macd_hist,58.80,,-0.42
i7t6dhnz,rsi_14,66.40,30,-0.92
i7t6dhnz,atr_mult,74.73,2.5,0.39
i7t6dhnz,macd_hist,65.30,,0.27
elg6vdro,rsi_14,73.74,70,-0.21
elg6vdro,atr_mult,42.18,2.5,0.76
elg6vdro,macd_hist,51.30,,-0.65
a4ryk4ue,rsi_14,75.58,30,-0.82
a4ryk4ue,atr_mult,62.83,2.5,-0.87
a4ryk4ue,macd_hist,51.25,,-0.29
dg8raj72,rsi_14,52.95,30,0.64
dg8raj72,atr_mult,53.42,2.5,0.17
dg8raj72,macd_hist,36.70,,-0.24
hpvqxaqj,rsi_14,22.32,70,0.36
hpvqxaqj,atr_mult,80.84,2.5,0.51
hpvqxaqj,macd_hist,89.45,,-0.77
c9432rdf,rsi_14,87.24,30,-0.78
c9432rdf,atr_mult,19.34,2.5,-0.70
c9432rdf,macd_hist,37.15,,-0.81
c9432rdf,vwap_dist,76.27,,0.66
w9kvcer9,rsi_14,84.00,70,-0.42
w9kvcer9,atr_mult,88.26,2.5,-0.84
w9kvcer9,macd_hist,21.48,,-0.94
y062hjda,rsi_14,13.31,30,-0.39
y062hjda,atr_mult,49.97,2.5,0.61
y062hjda,macd_hist,39.43,,-0.39
y062hjda,vwap_dist,43.45,,0.79
qyns68rv,rsi_14,54.38,70,0.42
qyns68rv,atr_mult,70.45,2.5,0.92
isatcckc,rsi_14,48.30,30,-0.65
isatcckc,atr_mult,57.88,2.5,-0.46
rjripd6p,rsi_14,79.84,30,-0.34
rjripd6p,atr_mult,76.66,2.5,0.38
rjripd6p,macd_hist,44.10,,0.57
bh593lw1,rsi_14,22.43,70,-0.39
bh593lw1,atr_mult,66.03,2.5,0.42
bh593lw1,macd_hist,51.91,,-0.39
bh593lw1,vwap_dist,19.94,,-0.72
5gglqjx0,rsi_14,78.29,70,-0.89
5gglqjx0,atr_mult,13.11,2.5,-0.61
od9xxw1d,rsi_14,77.03,30,0.21
od9xxw1d,atr_mult,77.42,2.5,0.66
2a3j4zy8,rsi_14,68.38,30,0.79
2a3j4zy8,atr_mult,35.36,2.5,-0.89
pc9zlv2b,rsi_14,47.03,70,-0.12
pc9zlv2b,atr_mult,37.93,2.5,0.43
pc9zlv2b,macd_hist,12.43,,-0.63
pc9zlv2b,vwap_dist,63.33,,-0.00
9xww5gai,rsi_14,77.86,70,-0.41
9xww5gai,atr_mult,83.12,2.5,0.47
ls4lfplp,rsi_14,29.82,30,-0.19
ls4lfplp,atr_mult,38.43,2.5,0.88
ls4lfplp,macd_hist,48.28,,0.32
cgdseqj3,rsi_14,81.82,30,0.55
cgdseqj3,atr_mult,67.52,2.5,0.98
cgdseqj3,macd_hist,18.40,,-0.72
i8ji30lo,rsi_14,76.60,70,0.95
i8ji30lo,atr_mult,40.22,2.5,0.05
i8ji30lo,macd_hist,23.10,,-0.18
i8ji30lo,vwap_dist,87.73,,-0.62
tunt40yc,rsi_14,80.82,30,0.37
tunt40yc,atr_mult,29.55,2.5,-0.74
7pwz5hdt,rsi_14,29.59,70,0.56
7pwz5hdt,atr_mult,46.91,2.5,0.13
7pwz5hdt,macd_hist,10.86,,0.38
7pwz5hdt,vwap_dist,21.00,,0.18
7p83d1jq,rsi_14,50.46,30,-0.89
7p83d1jq,atr_mult,35.69,2.5,-0.10
dn03rnud,rsi_14,66.97,30,-0.22
dn03rnud,atr_mult,24.04,2.5,0.96
fsrqfar8,rsi_14,22.53,70,0.72
fsrqfar8,atr_mult,64.29,2.5,-0.56
fsrqfar8,macd_hist,21.76,,-0.78
2xzas2tu,rsi_14,73.53,70,-0.09
2xzas2tu,atr_mult,64.81,2.5,0.66
ha8lal68,rsi_14,72.99,30,0.39
ha8lal68,atr_mult,25.23,2.5,-0.04
ha8lal68,macd_hist,80.65,,0.38
e8eonupd,rsi_14,29.24,70,-0.72
e8eonupd,atr_mult,59.17,2.5,-0.67
fhyx4dzn,rsi_14,51.99,70,-0.53
fhyx4dzn,atr_mult,49.26,2.5,0.16
fhyx4dzn,macd_hist,28.67,,-0.53
d2dmn0fi,rsi_14,21.44,30,0.21
d2dmn0fi,atr_mult,72.61,2.5,0.94
5370lrg6,rsi_14,27.07,30,0.79
5370lrg6,atr_mult,56.89,2.5,-0.43
5370lrg6,macd_hist,40.03,,0.77
ouwcqfxx,rsi_14,28.17,30,-0.69
ouwcqfxx,atr_mult,44.73,2.5,0.50
ouwcqfxx,macd_hist,89.05,,-0.49
6pz7vu19,rsi_14,20.13,30,0.90
6pz7vu19,atr_mult,34.53,2.5,0.64
6pz7vu19,macd_hist,61.09,,-0.37
6pz7vu19,vwap_dist,51.88,,0.62
dzigadyu,rsi_14,71.91,70,-0.91
dzigadyu,atr_mult,29.64,2.5,-0.81
hv6238jh,rsi_14,21.40,70,0.52
hv6238jh,atr_mult,20.87,2.5,-0.22
h4zv0pz9,rsi_14,50.95,30,-0.11
h4zv0pz9,atr_mult,48.78,2.5,0.17
h4zv0pz9,macd_hist,69.19,,-0.14
h4zv0pz9,vwap_dist,74.67,,0.60
91xeamni,rsi_14,22.85,30,-0.03
91xeamni,atr_mult,76.30,2.5,-0.05
91xeamni,macd_hist,89.77,,-0.65
2x1dtim2,rsi_14,17.00,70,0.22
2x1dtim2,atr_mult,39.66,2.5,0.88
ii3kboya,rsi_14,65.67,30,0.50
ii3kboya,atr_mult,84.49,2.5,-0.93
ii3kboya,macd_hist,12.98,,0.42
sn1hiiys,rsi_14,77.41,70,-0.28
sn1hiiys,atr_mult,83.44,2.5,0.96
aqy78wvf,rsi_14,70.78,30,-0.31
aqy78wvf,atr_mult,30.50,2.5,-0.36
aqy78wvf,macd_hist,24.41,,-0.08
aqy78wvf,vwap_dist,84.28,,0.95
fhwe78vz,rsi_14,55.66,30,-0.75
fhwe78vz,atr_mult,14.17,2.5,0.80
fhwe78vz,macd_hist,20.32,,-0.49
v2u7ddzi,rsi_14,34.59,70,0.09
v2u7ddzi,atr_mult,25.81,2.5,0.78
v2u7ddzi,macd_hist,32.98,,0.50
v2u7ddzi,vwap_dist,20.44,,0.54
vsh43t9s,rsi_14,41.43,30,-0.92
vsh43t9s,atr_mult,52.25,2.5,0.82
vsh43t9s,macd_hist,45.33,,0.13
vsh43t9s,vwap_dist,84.85,,0.75
r2va9llh,rsi_14,15.50,30,0.77
r2va9llh,atr_mult,77.25,2.5,0.31
r2va9llh,macd_hist,22.32,,-0.10
ns9v24en,rsi_14,79.18,30,0.80
ns9v24en,atr_mult,19.42,2.5,0.63
ns9v24en,macd_hist,59.04,,-0.60
ns9v24en,vwap_dist,61.53,,0.69
ixtvqnv8,rsi_14,52.95,30,0.66
ixtvqnv8,atr_mult,65.41,2.5,0.94
ixtvqnv8,macd_hist,17.28,,-0.58
omb10yxs,rsi_14,36.20,70,0.84
omb10yxs,atr_mult,46.74,2.5,-0.71
uq83rzg6,rsi_14,35.21,30,-0.78
uq83rzg6,atr_mult,14.69,2.5,-0.27
n9twu4kk,rsi_14,18.02,70,0.46
n9twu4kk,atr_mult,35.04,2.5,0.10
n9twu4kk,macd_hist,46.09,,0.13
n9twu4kk,vwap_dist,63.96,,0.58
e7vz39r9,rsi_14,50.64,30,0.34
e7vz39r9,atr_mult,32.94,2.5,-0.41
e7vz39r9,macd_hist,42.46,,0.16
e7vz39r9,vwap_dist,77.00,,-0.47
xsylddz2,rsi_14,21.96,70,-0.38
xsylddz2,atr_mult,81.71,2.5,-0.17
xsylddz2,macd_hist,21.84,,0.27
fa1fnwzs,rsi_14,45.65,70,0.49
fa1fnwzs,atr_mult,37.60,2.5,-0.30
c8wlpfm8,rsi_14,68.80,30,0.37
c8wlpfm8,atr_mult,83.12,2.5,0.75
c8wlpfm8,macd_hist,72.52,,-0.72
exdq3ory,rsi_14,11.62,70,-0.44
exdq3ory,atr_mult,46.22,2.5,0.51
tzscfxx2,rsi_14,67.22,70,0.03
tzscfxx2,atr_mult,41.02,2.5,0.96
tzscfxx2,macd_hist,21.79,,0.27
ewl4g9ne,rsi_14,30.83,70,-0.46
ewl4g9ne,atr_mult,18.71,2.5,0.41
ewl4g9ne,macd_hist,14.70,,0.53
ewl4g9ne,vwap_dist,30.86,,0.22
y5jfi372,rsi_14,30.79,30,-0.45
y5jfi372,atr_mult,31.61,2.5,0.81
y5jfi372,macd_hist,67.85,,-0.66
y5jfi372,vwap_dist,42.73,,-0.83
hqvzh780,rsi_14,37.96,70,-0.95
hqvzh780,atr_mult,59.30,2.5,0.64
hqvzh780,macd_hist,58.88,,0.68
hqvzh780,vwap_dist,87.99,,0.08
n9vd5v21,rsi_14,71.19,30,-0.62
n9vd5v21,atr_mult,43.12,2.5,0.75
n9vd5v21,macd_hist,52.62,,-0.82
xvpp4550,rsi_14,51.10,30,0.96
xvpp4550,atr_mult,10.13,2.5,0.92
n9aelh9j,rsi_14,85.81,30,0.01
n9aelh9j,atr_mult,10.46,2.5,0.47
nht02zw5,rsi_14,33.03,30,-0.50
nht02zw5,atr_mult,36.30,2.5,-0.89
nht02zw5,macd_hist,77.97,,-0.17
bsy9ssfu,rsi_14,66.80,70,-0.58
bsy9ssfu,atr_mult,70.80,2.5,0.80
yhuw0tvl,rsi_14,23.19,70,0.95
yhuw0tvl,atr_mult,44.17,2.5,-0.28
9xkubgja,rsi_14,87.35,70,0.23
9xkubgja,atr_mult,78.47,2.5,0.01
9xkubgja,macd_hist,38.54,,0.72
9xkubgja,vwap_dist,11.52,,-0.54
ge3xe8ts,rsi_14,75.19,30,-0.47
ge3xe8ts,atr_mult,13.26,2.5,-0.44
n76r86ed,rsi_14,36.18,30,0.04
n76r86ed,atr_mult,52.19,2.5,0.55
4gul7poi,rsi_14,55.28,30,0.27
4gul7poi,atr_mult,77.50,2.5,0.81
y5dtzg40,rsi_14,40.92,70,-0.83
y5dtzg40,atr_mult,20.25,2.5,-1.00
y5dtzg40,macd_hist,58.42,,0.13
up7zz5kd,rsi_14,15.51,30,0.51
up7zz5kd,atr_mult,51.01,2.5,-0.00
uddevuur,rsi_14,15.88,30,0.92
uddevuur,atr_mult,79.89,2.5,-0.57
uddevuur,macd_hist,37.50,,0.09
uddevuur,vwap_dist,13.00,,0.78
9ilf4or5,rsi_14,49.68,70,-0.21
9ilf4or5,atr_mult,33.43,2.5,0.66
9ilf4or5,macd_hist,52.16,,-0.94
g2tfdxrz,rsi_14,73.42,70,0.08
g2tfdxrz,atr_mult,60.30,2.5,0.47
g2tfdxrz,macd_hist,70.83,,-0.49
g2tfdxrz,vwap_dist,12.73,,-0.38
v4tx4vjb,rsi_14,14.33,30,0.30
v4tx4vjb,atr_mult,36.06,2.5,0.23
v4tx4vjb,macd_hist,81.79,,-0.36
q0tabhhm,rsi_14,31.18,70,0.66
q0tabhhm,atr_mult,18.08,2.5,-0.71
q0tabhhm,macd_hist,16.82,,0.69
wkz93lnl,rsi_14,44.93,30,0.47
wkz93lnl,atr_mult,74.55,2.5,0.55
wkz93lnl,macd_hist,11.08,,-0.30
wkz93lnl,vwap_dist,35.91,,-0.66
5m3eerhr,rsi_14,19.16,30,-0.73
5m3eerhr,atr_mult,79.23,2.5,0.66
5m3eerhr,macd_hist,38.45,,0.90
lpxt50b1,rsi_14,77.35,30,-0.34
lpxt50b1,atr_mult,19.18,2.5,-0.08
lpxt50b1,macd_hist,66.69,,-0.24
lpxt50b1,vwap_dist,74.78,,0.88
ubeoffme,rsi_14,39.98,30,0.94
ubeoffme,atr_mult,20.32,2.5,-0.15
ubeoffme,macd_hist,53.38,,0.33
ubeoffme,vwap_dist,64.97,,-0.76
usppm08v,rsi_14,23.77,30,0.79
usppm08v,atr_mult,60.54,2.5,-0.29
usppm08v,macd_hist,37.54,,-0.39
z2evkvjl,rsi_14,30.91,30,0.41
z2evkvjl,atr_mult,13.88,2.5,0.51
z2evkvjl,macd_hist,60.62,,-0.25
o7gh2r9r,rsi_14,62.41,70,0.53
o7gh2r9r,atr_mult,65.30,2.5,0.91
o7gh2r9r,macd_hist,70.77,,-0.88
0h0r1xcs,rsi_14,51.92,70,0.47
0h0r1xcs,atr_mult,60.68,2.5,0.65
wnpy85gi,rsi_14,48.15,70,-0.62
wnpy85gi,atr_mult,76.72,2.5,-0.92
wnpy85gi,macd_hist,48.09,,0.65
v9ij20lz,rsi_14,60.49,30,-0.70
v9ij20lz,atr_mult,89.23,2.5,-0.68
v9ij20lz,macd_hist,70.38,,-0.91
v9ij20lz,vwap_dist,39.85,,-0.55
fqh4wbtg,rsi_14,82.48,30,0.17
fqh4wbtg,atr_mult,86.22,2.5,0.53
fqh4wbtg,macd_hist,15.51,,-0.22
fqh4wbtg,vwap_dist,26.29,,-0.91
d8j3zpqs,rsi_14,21.06,30,-0.23
d8j3zpqs,atr_mult,84.68,2.5,0.75
d8j3zpqs,macd_hist,63.71,,-0.96
d8j3zpqs,vwap_dist,54.59,,0.11
pjwyxht8,rsi_14,12.59,30,0.71
pjwyxht8,atr_mult,22.71,2.5,0.73
pjwyxht8,macd_hist,34.50,,-0.37
pjwyxht8,vwap_dist,65.29,,0.28
y3anvrph,rsi_14,64.80,70,-0.29
y3anvrph,atr_mult,74.89,2.5,0.31
y3anvrph,macd_hist,66.49,,-0.92
9659dkua,rsi_14,41.92,70,-0.17
9659dkua,atr_mult,87.98,2.5,-0.09
9659dkua,macd_hist,70.27,,-0.09
0688jm3a,rsi_14,70.64,70,-0.03
0688jm3a,atr_mult,84.44,2.5,0.94
9bh8q6qt,rsi_14,23.46,30,0.41
9bh8q6qt,atr_mult,23.70,2.5,-0.56
9bh8q6qt,macd_hist,76.18,,-0.41
9bh8q6qt,vwap_dist,67.81,,0.03
v8pbwg1c,rsi_14,19.09,70,0.84
v8pbwg1c,atr_mult,68.73,2.5,0.88
v8pbwg1c,macd_hist,36.86,,-0.18
v8pbwg1c,vwap_dist,88.07,,0.61
0vlp0v6y,rsi_14,12.30,70,0.55
0vlp0v6y,atr_mult,55.37,2.5,-0.42
0vlp0v6y,macd_hist,42.42,,0.38
eu0yh51r,rsi_14,24.99,30,0.24
eu0yh51r,atr_mult,60.70,2.5,-0.21
4jtr89gy,rsi_14,56.91,30,-0.47
4jtr89gy,atr_mult,44.65,2.5,0.36
4jtr89gy,macd_hist,75.74,,0.38
qq4ix1xf,rsi_14,19.77,70,0.14
qq4ix1xf,atr_mult,83.00,2.5,-0.47
qq4ix1xf,macd_hist,37.79,,-0.87
2kxu1jhj,rsi_14,49.45,70,0.74
2kxu1jhj,atr_mult,81.20,2.5,-0.15
2kxu1jhj,macd_hist,43.31,,0.23
swlnfddg,rsi_14,40.79,30,-0.49
swlnfddg,atr_mult,84.89,2.5,0.32
swlnfddg,macd_hist,36.67,,0.49
8bhow2u4,rsi_14,32.35,70,-0.08
8bhow2u4,atr_mult,21.69,2.5,0.95
8bhow2u4,macd_hist,38.50,,0.38
1ndv0uv7,rsi_14,13.66,70,-0.27
1ndv0uv7,atr_mult,78.97,2.5,-0.18
1ndv0uv7,macd_hist,19.55,,-0.54
39i8a3g3,rsi_14,52.96,30,-0.70
39i8a3g3,atr_mult,64.39,2.5,-0.56
39i8a3g3,macd_hist,36.47,,-0.18
39i8a3g3,vwap_dist,72.97,,0.69
idlxjh40,rsi_14,55.69,30,1.00
idlxjh40,atr_mult,25.60,2.5,-0.12
gx212doz,rsi_14,45.43,70,0.80
gx212doz,atr_mult,64.57,2.5,0.79
gx212doz,macd_hist,24.69,,0.90
coa6muq9,rsi_14,79.08,30,0.11
coa6muq9,atr_mult,59.83,2.5,-0.84
coa6muq9,macd_hist,50.41,,0.53
coa6muq9,vwap_dist,45.77,,0.49
tlbqrixz,rsi_14,37.66,30,0.24
tlbqrixz,atr_mult,88.46,2.5,0.12
tlbqrixz,macd_hist,32.89,,-0.43
tlbqrixz,vwap_dist,18.86,,0.89
wjub553l,rsi_14,21.63,70,0.62
wjub553l,atr_mult,39.72,2.5,-0.95
wjub553l,macd_hist,11.53,,-0.09
axx76x64,rsi_14,86.77,70,0.92
axx76x64,atr_mult,60.94,2.5,-0.22
axx76x64,macd_hist,76.78,,-0.68
3183j3im,rsi_14,63.27,70,-0.59
3183j3im,atr_mult,27.39,2.5,-0.25
3183j3im,macd_hist,54.76,,-0.51
7bz703h2,rsi_14,32.34,70,0.51
7bz703h2,atr_mult,80.26,2.5,-0.84
mpmizi9g,rsi_14,75.87,70,-0.95
mpmizi9g,atr_mult,48.77,2.5,0.58
mau2y775,rsi_14,37.03,70,0.53
mau2y775,atr_mult,16.64,2.5,0.79
mau2y775,macd_hist,56.40,,0.93
mau2y775,vwap_dist,48.03,,-0.30
09bwj50o,rsi_14,67.44,30,-0.81
09bwj50o,atr_mult,55.55,2.5,-0.01
6kwx7hvh,rsi_14,83.21,30,-0.46
6kwx7hvh,atr_mult,88.91,2.5,-0.61
6kwx7hvh,macd_hist,41.73,,0.94
6kwx7hvh,vwap_dist,45.54,,-0.45
90jhq8mf,rsi_14,58.89,30,-0.52
90jhq8mf,atr_mult,28.63,2.5,0.00
ykdnzood,rsi_14,62.64,70,-0.11
ykdnzood,atr_mult,47.15,2.5,-0.50
ykdnzood,macd_hist,30.67,,-0.71
1p2eb9e5,rsi_14,14.32,70,-0.35
1p2eb9e5,atr_mult,57.39,2.5,0.22
1p2eb9e5,macd_hist,44.97,,0.49
793fowus,rsi_14,89.18,70,-0.90
793fowus,atr_mult,27.20,2.5,-0.89
793fowus,macd_hist,72.55,,0.72
793fowus,vwap_dist,30.10,,0.03
9isohw0l,rsi_14,58.44,30,0.81
9isohw0l,atr_mult,85.66,2.5,0.94
2iytukkz,rsi_14,61.56,30,-0.19
2iytukkz,atr_mult,46.97,2.5,-0.87
2iytukkz,macd_hist,37.68,,0.41
2iytukkz,vwap_dist,17.53,,-0.19
lzd76jrz,rsi_14,53.15,70,0.01
lzd76jrz,atr_mult,33.26,2.5,-0.98
lzd76jrz,macd_hist,41.22,,0.60
lzd76jrz,vwap_dist,33.97,,-0.57
m87i695e,rsi_14,16.97,30,0.27
m87i695e,atr_mult,36.18,2.5,-0.56
m87i695e,macd_hist,82.52,,-0.75
m87i695e,vwap_dist,82.52,,0.43
bjft9g9a,rsi_14,27.28,30,0.10
bjft9g9a,atr_mult,39.24,2.5,0.46
bjft9g9a,macd_hist,35.27,,0.57
bjft9g9a,vwap_dist,55.49,,0.73
7h20t7jj,rsi_14,49.99,30,0.69
7h20t7jj,atr_mult,57.00,2.5,-0.63
7h20t7jj,macd_hist,83.12,,0.38
q9cothzo,rsi_14,79.91,30,-0.92
q9cothzo,atr_mult,36.66,2.5,0.03
q9cothzo,macd_hist,44.89,,0.09
q9cothzo,vwap_dist,62.83,,0.61
qkpbhin5,rsi_14,15.43,70,-0.79
qkpbhin5,atr_mult,42.75,2.5,0.43
qkpbhin5,macd_hist,79.95,,0.71
yzgnj1p3,rsi_14,67.35,70,0.97
yzgnj1p3,atr_mult,77.42,2.5,-0.49
u1ig6vbk,rsi_14,75.90,30,-0.94
u1ig6vbk,atr_mult,76.42,2.5,-0.38
u1ig6vbk,macd_hist,79.38,,0.26
u1ig6vbk,vwap_dist,69.05,,-0.00
kq4jqnt2,rsi_14,52.25,30,-0.59
kq4jqnt2,atr_mult,66.63,2.5,0.35
kq4jqnt2,macd_hist,54.48,,0.95
kq4jqnt2,vwap_dist,62.38,,-0.95
l0ntrk6s,rsi_14,43.89,30,-0.83
l0ntrk6s,atr_mult,57.51,2.5,-0.40
bwkdil7d,rsi_14,26.02,70,0.34
bwkdil7d,atr_mult,13.55,2.5,-0.14
bwkdil7d,macd_hist,69.31,,-0.98
bwkdil7d,vwap_dist,85.06,,-0.64
uw19pjcv,rsi_14,39.60,30,-0.51
uw19pjcv,atr_mult,53.74,2.5,-0.10
uw19pjcv,macd_hist,50.15,,-0.69
uw19pjcv,vwap_dist,45.66,,0.53
1pc06wq1,rsi_14,36.27,70,0.74
1pc06wq1,atr_mult,74.17,2.5,0.08
1pc06wq1,macd_hist,51.03,,-0.52
cerbtpsh,rsi_14,72.58,70,-0.89
cerbtpsh,atr_mult,68.43,2.5,0.42
cerbtpsh,macd_hist,32.84,,0.85
cerbtpsh,vwap_dist,47.13,,-0.64
085cgba8,rsi_14,13.41,70,0.46
085cgba8,atr_mult,38.85,2.5,0.78
085cgba8,macd_hist,78.57,,-0.67
lif8w4s0,rsi_14,41.65,70,-0.16
lif8w4s0,atr_mult,51.76,2.5,-0.77
lif8w4s0,macd_hist,14.83,,0.20
2ul5x11d,rsi_14,17.05,70,0.47
2ul5x11d,atr_mult,29.05,2.5,-0.25
2ul5x11d,macd_hist,30.38,,-0.04
zxwnxazx,rsi_14,60.47,30,0.62
zxwnxazx,atr_mult,72.86,2.5,0.32
vwl2sn2p,rsi_14,62.91,30,-0.72
vwl2sn2p,atr_mult,53.29,2.5,-0.31
uoav2w5x,rsi_14,14.26,30,-0.25
uoav2w5x,atr_mult,14.57,2.5,0.58
uoav2w5x,macd_hist,77.66,,-0.74
uoav2w5x,vwap_dist,58.08,,0.41
c56nzzan,rsi_14,59.00,30,0.65
c56nzzan,atr_mult,34.87,2.5,0.38
c56nzzan,macd_hist,62.21,,0.50
0b7mdp9k,rsi_14,46.95,30,-0.40
0b7mdp9k,atr_mult,58.88,2.5,0.06
0b7mdp9k,macd_hist,31.36,,-0.21
gmupcqzf,rsi_14,44.04,30,-0.44
gmupcqzf,atr_mult,76.31,2.5,0.72
gmupcqzf,macd_hist,37.97,,0.78
vfjooxj5,rsi_14,45.52,30,-0.71
vfjooxj5,atr_mult,45.65,2.5,-0.86
izs61d54,rsi_14,83.64,30,0.91
izs61d54,atr_mult,87.74,2.5,0.33
izs61d54,macd_hist,51.95,,-0.96
xelkh0vg,rsi_14,21.72,30,0.60
xelkh0vg,atr_mult,42.58,2.5,0.13
xelkh0vg,macd_hist,64.42,,0.90
xelkh0vg,vwap_dist,59.66,,-0.18
m25x27yb,rsi_14,18.07,70,-0.07
m25x27yb,atr_mult,41.45,2.5,-0.49
m25x27yb,macd_hist,79.47,,0.87
s8eyn6af,rsi_14,26.23,70,0.79
s8eyn6af,atr_mult,63.16,2.5,-0.38
s8eyn6af,macd_hist,53.95,,-0.77
raji3sd2,rsi_14,58.34,30,-0.23
raji3sd2,atr_mult,24.24,2.5,0.56
raji3sd2,macd_hist,65.69,,0.75
raji3sd2,vwap_dist,27.56,,0.35
1l046nij,rsi_14,18.14,30,0.02
1l046nij,atr_mult,22.84,2.5,-0.70
1l046nij,macd_hist,10.37,,-0.27
wb1b0zds,rsi_14,34.14,70,0.47
wb1b0zds,atr_mult,89.60,2.5,0.45
wb1b0zds,macd_hist,13.25,,-0.09
wb1b0zds,vwap_dist,29.98,,-0.86
xo5p9hls,rsi_14,35.15,30,-0.47
xo5p9hls,atr_mult,74.19,2.5,-0.11
xo5p9hls,macd_hist,29.55,,0.65
xo5p9hls,vwap_dist,21.13,,0.26
8subzik1,rsi_14,26.43,70,-0.40
8subzik1,atr_mult,44.59,2.5,0.09
8subzik1,macd_hist,32.05,,-0.69
8subzik1,vwap_dist,53.69,,-0.10
u4h44f7b,rsi_14,26.24,30,0.68
u4h44f7b,atr_mult,49.79,2.5,-0.56
u4h44f7b,macd_hist,27.52,,0.34
g60fd8oq,rsi_14,10.33,70,0.71
g60fd8oq,atr_mult,27.39,2.5,0.53
g60fd8oq,macd_hist,75.24,,-0.69
2mrcfi9w,rsi_14,10.53,70,-0.86
2mrcfi9w,atr_mult,64.76,2.5,0.52
g3rxd0zp,rsi_14,29.19,70,0.83
g3rxd0zp,atr_mult,58.30,2.5,0.26
g3rxd0zp,macd_hist,80.98,,0.73
g3rxd0zp,vwap_dist,36.35,,-0.53
28o5mugf,rsi_14,54.82,70,0.85
28o5mugf,atr_mult,59.41,2.5,-0.85
28o5mugf,macd_hist,11.86,,0.55
1lx7dv9w,rsi_14,20.46,70,0.97
1lx7dv9w,atr_mult,49.70,2.5,-0.02
1lx7dv9w,macd_hist,62.43,,0.19
fh0cvgqn,rsi_14,49.58,70,0.05
fh0cvgqn,atr_mult,16.02,2.5,-0.64
d349j0hf,rsi_14,44.21,70,-0.17
d349j0hf,atr_mult,36.48,2.5,0.44
d349j0hf,macd_hist,83.63,,0.56
d349j0hf,vwap_dist,72.63,,0.88
1a903580,rsi_14,76.60,70,0.58
1a903580,atr_mult,51.70,2.5,0.55
9gnqsmc0,rsi_14,56.08,30,-0.24
9gnqsmc0,atr_mult,19.97,2.5,0.04
9gnqsmc0,macd_hist,56.04,,-0.71
912uaj50,rsi_14,27.59,70,0.96
912uaj50,atr_mult,81.56,2.5,0.55
pgcotc8c,rsi_14,46.50,70,-0.93
