trade_id,status,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,pnl_raw,pnl_rel,mae,mfe,slippage,commission,rejection_reason,strategy_id,model_version
dzigadyu,executed,short,1711871100000,1711873800000,45330.64,45342.73,45430.635573092695,45130.635573092695,1.39,-12.10,-0.12,30.26,28.76,1.20,2.78,,alpha_v2,v2.1.0
hv6238jh,rejected,short,1709837100000,,46266.17,46277.76,46366.17089170044,46066.17089170044,1.58,-11.59,,,,,,htf_alignment,alpha_v2,v2.1.0
h4zv0pz9,executed,long,1710207900000,1710232200000,45120.62,45242.27,45020.621454320295,45320.621454320295,0.94,121.65,1.22,57.15,112.99,2.58,1.88,,alpha_v2,v2.1.0
91xeamni,executed,long,1712394900000,1712412900000,47029.44,46931.45,46929.43642138407,47229.43642138407,1.46,-97.99,-0.98,73.64,99.89,1.27,2.92,,alpha_v2,v2.1.0
2x1dtim2,executed,short,1706904900000,1706905800000,45522.74,45606.68,45622.73504992182,45322.73504992182,1.83,-83.94,-0.84,46.03,105.21,2.04,3.66,,alpha_v2,v2.1.0
ii3kboya,executed,long,1705572900000,1705601700000,44711.98,44832.38,44611.980313917724,44911.980313917724,0.60,120.40,1.20,49.45,37.16,0.80,1.20,,alpha_v2,v2.1.0
sn1hiiys,rejected,short,1708026300000,,45579.42,45589.82,45679.42175947208,45379.42175947208,1.21,-10.40,,,,,,spread_filter,alpha_v2,v2.1.0
aqy78wvf,executed,long,1709619300000,1709626500000,46152.38,46010.04,46052.38232824611,46352.38232824611,0.78,-142.34,-1.42,75.70,113.71,0.60,1.56,,alpha_v2,v2.1.0
fhwe78vz,executed,long,1704737700000,1704759300000,45200.09,45345.74,45100.093430428366,45400.093430428366,0.15,145.65,1.46,17.36,102.64,2.68,0.30,,alpha_v2,v2.1.0
v2u7ddzi,executed,short,1705968000000,1705987800000,44186.49,43928.33,44286.49323595118,43986.49323595118,0.16,258.16,2.58,58.59,25.50,2.45,0.32,,alpha_v2,v2.1.0
vsh43t9s,executed,long,1711367100000,1711385100000,44270.68,44158.56,44170.68000612296,44470.68000612296,2.39,-112.12,-1.12,18.52,69.97,0.72,4.78,,alpha_v2,v2.1.0
r2va9llh,rejected,long,1708461000000,,46093.80,46075.41,45993.802949450546,46293.802949450546,1.94,-18.39,,,,,,atr_limit,alpha_v2,v2.1.0
ns9v24en,rejected,long,1710921600000,,44279.58,44247.94,44179.580912428515,44479.580912428515,1.61,-31.64,,,,,,htf_alignment,alpha_v2,v2.1.0
ixtvqnv8,rejected,long,1705289400000,,44832.97,45068.56,44732.96509428283,45032.96509428283,1.00,235.59,,,,,,htf_alignment,alpha_v2,v2.1.0
omb10yxs,executed,short,1712278800000,1712281500000,46283.80,46148.27,46383.79891025952,46083.79891025952,0.21,135.53,1.36,31.01,144.25,0.96,0.42,,alpha_v2,v2.1.0
uq83rzg6,executed,long,1705104000000,1705122000000,44548.87,44662.48,44448.872187132816,44748.872187132816,1.07,113.60,1.14,50.18,106.39,2.37,2.14,,alpha_v2,v2.1.0
n9twu4kk,executed,short,1706298300000,1706310000000,44213.80,44255.37,44313.804939289825,44013.804939289825,2.33,-41.56,-0.42,46.18,68.41,2.91,4.66,,alpha_v2,v2.1.0
e7vz39r9,executed,long,1709112600000,1709120700000,45825.39,46114.75,45725.39452797589,46025.39452797589,0.10,289.35,2.89,19.92,25.65,2.66,0.20,,alpha_v2,v2.1.0
xsylddz2,rejected,short,1705856400000,,44301.26,44063.75,44401.25503926981,44101.25503926981,1.94,237.51,,,,,,spread_filter,alpha_v2,v2.1.0
fa1fnwzs,executed,short,1708830900000,1708844400000,45303.55,45371.61,45403.54504558227,45103.54504558227,2.25,-68.07,-0.68,75.66,50.95,1.38,4.50,,alpha_v2,v2.1.0
c8wlpfm8,executed,long,1704729600000,1704731400000,45260.83,45195.20,45160.8319822192,45460.8319822192,2.25,-65.63,-0.66,72.74,84.48,2.60,4.50,,alpha_v2,v2.1.0
exdq3ory,rejected,short,1710306900000,,45625.94,45711.37,45725.937428000514,45425.937428000514,2.50,-85.43,,,,,,atr_limit,alpha_v2,v2.1.0
tzscfxx2,executed,short,1708379100000,1708401600000,45828.84,45950.06,45928.83551647059,45628.83551647059,2.43,-121.22,-1.21,38.27,76.65,1.41,4.86,,alpha_v2,v2.1.0
ewl4g9ne,rejected,short,1706386500000,,44568.43,44715.62,44668.43275958749,44368.43275958749,1.32,-147.19,,,,,,spread_filter,alpha_v2,v2.1.0
y5jfi372,rejected,long,1707090300000,,45771.05,45894.10,45671.05355599593,45971.05355599593,1.79,123.05,,,,,,time_of_day,alpha_v2,v2.1.0
hqvzh780,rejected,short,1709123400000,,45728.69,45480.53,45828.68675382984,45528.68675382984,0.40,248.15,,,,,,time_of_day,alpha_v2,v2.1.0
n9vd5v21,executed,long,1705773600000,1705791600000,44320.16,44588.30,44220.156848152474,44520.156848152474,1.67,268.14,2.68,78.34,39.52,0.54,3.34,,alpha_v2,v2.1.0
xvpp4550,executed,long,1712795400000,1712818800000,47040.11,47182.89,46940.10615534983,47240.10615534983,1.28,142.79,1.43,52.55,51.87,1.50,2.56,,alpha_v2,v2.1.0
n9aelh9j,executed,long,1711661400000,1711692000000,44773.04,44828.98,44673.03757445358,44973.03757445358,0.73,55.94,0.56,20.38,21.17,1.97,1.46,,alpha_v2,v2.1.0
nht02zw5,rejected,long,1709842500000,,46267.98,46464.24,46167.97999332679,46467.97999332679,0.47,196.26,,,,,,time_of_day,alpha_v2,v2.1.0
bsy9ssfu,executed,short,1704789900000,1704825000000,45359.61,45502.14,45459.6071977945,45159.6071977945,1.88,-142.53,-1.43,54.65,62.82,0.81,3.76,,alpha_v2,v2.1.0
yhuw0tvl,executed,short,1710875700000,1710877500000,44278.68,44387.70,44378.676376666845,44078.676376666845,2.08,-109.03,-1.09,47.48,34.69,2.11,4.16,,alpha_v2,v2.1.0
9xkubgja,executed,short,1705969800000,1706001300000,44218.28,43939.78,44318.27636606387,44018.27636606387,1.37,278.49,2.78,30.86,57.25,2.64,2.74,,alpha_v2,v2.1.0
ge3xe8ts,executed,long,1707244200000,1707255000000,45646.14,45820.70,45546.1395332419,45846.1395332419,2.40,174.56,1.75,12.67,133.89,2.46,4.80,,alpha_v2,v2.1.0
n76r86ed,rejected,long,1712457000000,,47147.14,47388.59,47047.13927804481,47347.13927804481,0.17,241.45,,,,,,atr_limit,alpha_v2,v2.1.0
4gul7poi,executed,long,1709783100000,1709816400000,46604.02,46886.34,46504.01752643592,46804.01752643592,1.87,282.32,2.82,36.83,36.23,0.81,3.74,,alpha_v2,v2.1.0
y5dtzg40,executed,short,1711833300000,1711860300000,45168.55,45200.41,45268.54579805955,44968.54579805955,0.59,-31.86,-0.32,75.43,73.77,2.71,1.18,,alpha_v2,v2.1.0
up7zz5kd,rejected,long,1708530300000,,46075.63,46328.29,45975.62613038513,46275.62613038513,1.96,252.66,,,,,,atr_limit,alpha_v2,v2.1.0
uddevuur,executed,long,1712575800000,1712595600000,47098.72,47078.97,46998.715574993024,47298.715574993024,1.74,-19.75,-0.20,49.97,119.26,1.44,3.48,,alpha_v2,v2.1.0
9ilf4or5,rejected,short,1705151700000,,44470.36,44275.05,44570.356696444906,44270.356696444906,1.98,195.30,,,,,,time_of_day,alpha_v2,v2.1.0
g2tfdxrz,rejected,short,1712298600000,,46323.18,46429.11,46423.184008770186,46123.184008770186,0.16,-105.92,,,,,,time_of_day,alpha_v2,v2.1.0
v4tx4vjb,executed,long,1708507800000,1708510500000,46027.78,45952.40,45927.77565953291,46227.77565953291,0.97,-75.38,-0.75,48.21,128.19,0.98,1.94,,alpha_v2,v2.1.0
q0tabhhm,executed,short,1705533300000,1705536000000,44953.00,44721.74,45052.99617750211,44752.99617750211,1.79,231.26,2.31,23.14,128.85,1.79,3.58,,alpha_v2,v2.1.0
wkz93lnl,executed,long,1710134100000,1710135900000,45148.02,45033.56,45048.01898070986,45348.01898070986,0.33,-114.46,-1.14,19.98,122.30,1.30,0.66,,alpha_v2,v2.1.0
5m3eerhr,executed,long,1704625200000,1704650400000,45345.49,45292.63,45245.49206662212,45545.49206662212,1.62,-52.87,-0.53,63.57,100.08,2.94,3.24,,alpha_v2,v2.1.0
lpxt50b1,rejected,long,1709686800000,,46350.35,46251.24,46250.35292254762,46550.35292254762,0.47,-99.12,,,,,,atr_limit,alpha_v2,v2.1.0
ubeoffme,executed,long,1706597100000,1706627700000,45111.00,45020.17,45011.00094737955,45311.00094737955,1.01,-90.83,-0.91,19.36,133.81,2.80,2.02,,alpha_v2,v2.1.0
usppm08v,executed,long,1704949200000,1704975300000,44871.71,45003.24,44771.71433161203,45071.71433161203,0.52,131.52,1.32,76.59,77.83,2.26,1.04,,alpha_v2,v2.1.0
z2evkvjl,rejected,long,1712315700000,,46461.67,46711.21,46361.67386236825,46661.67386236825,1.47,249.53,,,,,,htf_alignment,alpha_v2,v2.1.0
o7gh2r9r,rejected,short,1712829600000,,46900.00,47025.36,47000.0045595594,46700.0045595594,0.71,-125.35,,,,,,htf_alignment,alpha_v2,v2.1.0
0h0r1xcs,executed,short,1711465200000,1711472400000,44518.55,44596.15,44618.55071284484,44318.55071284484,2.25,-77.60,-0.78,72.16,100.20,1.47,4.50,,alpha_v2,v2.1.0
wnpy85gi,rejected,short,1709997300000,,45879.64,45961.02,45979.64460008502,45679.64460008502,0.35,-81.38,,,,,,htf_alignment,alpha_v2,v2.1.0
v9ij20lz,executed,long,1706567400000,1706582700000,45393.39,45447.09,45293.39384310273,45593.39384310273,1.38,53.69,0.54,58.93,52.54,2.91,2.76,,alpha_v2,v2.1.0
fqh4wbtg,executed,long,1704344400000,1704370500000,44917.30,45136.22,44817.3027669559,45117.3027669559,1.14,218.92,2.19,28.77,55.27,1.15,2.28,,alpha_v2,v2.1.0
d8j3zpqs,rejected,long,1708523100000,,46050.26,46106.93,45950.257345574886,46250.257345574886,0.46,56.67,,,,,,atr_limit,alpha_v2,v2.1.0
pjwyxht8,executed,long,1707780600000,1707792300000,45131.24,45089.70,45031.23810137667,45331.23810137667,0.34,-41.54,-0.42,77.30,28.93,1.36,0.68,,alpha_v2,v2.1.0
y3anvrph,rejected,short,1711707300000,,44953.65,44824.95,45053.64646422506,44753.64646422506,0.19,128.70,,,,,,time_of_day,alpha_v2,v2.1.0
9659dkua,executed,short,1710768600000,1710787500000,44331.38,44234.99,44431.38349080927,44131.38349080927,1.14,96.40,0.96,55.42,64.29,0.77,2.28,,alpha_v2,v2.1.0
0688jm3a,executed,short,1705772700000,1705779900000,44366.74,44225.01,44466.737467472376,44166.737467472376,0.49,141.72,1.42,41.10,46.08,1.52,0.98,,alpha_v2,v2.1.0
9bh8q6qt,executed,long,1704334500000,1704346200000,44934.34,45204.13,44834.34171929568,45134.34171929568,1.26,269.79,2.70,45.25,101.47,2.52,2.52,,alpha_v2,v2.1.0
v8pbwg1c,rejected,short,1705701600000,,44468.28,44303.78,44568.276239844556,44268.276239844556,0.46,164.50,,,,,,atr_limit,alpha_v2,v2.1.0
0vlp0v6y,executed,short,1712415600000,1712423700000,46961.12,46897.58,47061.119828386014,46761.119828386014,0.67,63.54,0.64,67.79,59.66,1.61,1.34,,alpha_v2,v2.1.0
eu0yh51r,executed,long,1708803900000,1708823700000,45373.90,45296.89,45273.90177564702,45573.90177564702,1.10,-77.01,-0.77,16.99,133.95,2.23,2.20,,alpha_v2,v2.1.0
4jtr89gy,executed,long,1708876800000,1708901100000,45124.48,44991.20,45024.48013218408,45324.48013218408,1.24,-133.28,-1.33,14.47,69.25,0.85,2.48,,alpha_v2,v2.1.0
qq4ix1xf,rejected,short,1711238400000,,44727.81,44789.29,44827.810830000715,44527.810830000715,1.87,-61.48,,,,,,htf_alignment,alpha_v2,v2.1.0
2kxu1jhj,executed,short,1712528100000,1712529000000,46892.65,46703.84,46992.64944335898,46692.64944335898,2.10,188.81,1.89,52.14,50.05,0.58,4.20,,alpha_v2,v2.1.0
swlnfddg,executed,long,1709142300000,1709148600000,45707.12,45788.82,45607.1197314765,45907.1197314765,1.31,81.70,0.82,53.02,31.39,1.71,2.62,,alpha_v2,v2.1.0
8bhow2u4,executed,short,1704639600000,1704640500000,45675.47,45469.63,45775.4739775097,45475.4739775097,2.20,205.84,2.06,14.57,84.65,1.85,4.40,,alpha_v2,v2.1.0
1ndv0uv7,executed,short,1709778600000,1709786700000,46603.03,46707.60,46703.03476393611,46403.03476393611,1.35,-104.57,-1.05,64.83,84.75,1.60,2.70,,alpha_v2,v2.1.0
39i8a3g3,executed,long,1710625500000,1710640800000,44939.42,44846.53,44839.41820974967,45139.41820974967,0.90,-92.88,-0.93,24.61,116.52,2.23,1.80,,alpha_v2,v2.1.0
idlxjh40,executed,long,1707711300000,1707745500000,44816.40,44949.91,44716.39679634693,45016.39679634693,1.66,133.52,1.34,73.85,136.00,2.77,3.32,,alpha_v2,v2.1.0
gx212doz,rejected,short,1712913300000,,46956.96,46843.98,47056.95693442143,46756.95693442143,1.81,112.97,,,,,,atr_limit,alpha_v2,v2.1.0
coa6muq9,rejected,long,1712653200000,,46877.24,46847.58,46777.24082954477,47077.24082954477,1.04,-29.66,,,,,,spread_filter,alpha_v2,v2.1.0
tlbqrixz,executed,long,1711372500000,1711374300000,44265.23,44376.71,44165.23279971508,44465.23279971508,0.83,111.47,1.11,67.09,24.98,2.19,1.66,,alpha_v2,v2.1.0
wjub553l,rejected,short,1705843800000,,44333.42,44124.18,44433.420733639796,44133.420733639796,1.72,209.24,,,,,,spread_filter,alpha_v2,v2.1.0
axx76x64,executed,short,1711519200000,1711539900000,44766.90,44643.14,44866.89533437747,44566.89533437747,2.14,123.76,1.24,36.66,66.79,0.81,4.28,,alpha_v2,v2.1.0
3183j3im,executed,short,1707442200000,1707462900000,45787.26,45659.17,45887.25772274761,45587.25772274761,0.58,128.08,1.28,57.11,35.01,1.43,1.16,,alpha_v2,v2.1.0
7bz703h2,executed,short,1710517500000,1710523800000,45531.63,45638.02,45631.630289867164,45331.630289867164,1.68,-106.39,-1.06,34.65,53.25,2.88,3.36,,alpha_v2,v2.1.0
mpmizi9g,executed,short,1708811100000,1708813800000,45289.97,45336.79,45389.97278492003,45089.97278492003,1.56,-46.82,-0.47,38.31,121.77,2.49,3.12,,alpha_v2,v2.1.0
mau2y775,executed,short,1706589000000,1706597100000,45184.68,45198.26,45284.68072679288,44984.68072679288,0.92,-13.58,-0.14,66.14,142.96,1.44,1.84,,alpha_v2,v2.1.0
09bwj50o,executed,long,1705658400000,1705686300000,44399.98,44476.03,44299.984504843786,44599.984504843786,2.34,76.04,0.76,25.72,109.77,1.27,4.68,,alpha_v2,v2.1.0
6kwx7hvh,executed,long,1711483200000,1711502100000,44423.42,44568.82,44323.420825041576,44623.420825041576,1.09,145.40,1.45,22.65,60.66,1.74,2.18,,alpha_v2,v2.1.0
90jhq8mf,executed,long,1710006300000,1710009000000,45817.08,45794.18,45717.080736124284,46017.080736124284,0.41,-22.91,-0.23,31.55,85.18,2.20,0.82,,alpha_v2,v2.1.0
ykdnzood,executed,short,1706827500000,1706855400000,45588.04,45736.14,45688.0448637478,45388.0448637478,0.99,-148.10,-1.48,13.02,87.63,1.32,1.98,,alpha_v2,v2.1.0
1p2eb9e5,executed,short,1707765300000,1707784200000,45138.11,45187.17,45238.11495088865,44938.11495088865,0.53,-49.05,-0.49,11.00,51.92,2.08,1.06,,alpha_v2,v2.1.0
793fowus,executed,short,1710507600000,1710531900000,45498.68,45395.65,45598.67966987965,45298.67966987965,1.86,103.03,1.03,78.14,118.57,0.54,3.72,,alpha_v2,v2.1.0
9isohw0l,executed,long,1711728000000,1711751400000,44932.02,45061.78,44832.02093370451,45132.02093370451,1.97,129.76,1.30,49.63,124.04,0.62,3.94,,alpha_v2,v2.1.0
2iytukkz,executed,long,1710899100000,1710909000000,44205.87,44285.53,44105.86673520031,44405.86673520031,1.49,79.67,0.80,24.52,126.91,2.47,2.98,,alpha_v2,v2.1.0
lzd76jrz,rejected,short,1712033100000,,45482.91,45616.03,45582.90747279852,45282.90747279852,1.00,-133.12,,,,,,time_of_day,alpha_v2,v2.1.0
m87i695e,executed,long,1711016100000,1711020600000,44022.11,43936.57,43922.108314674195,44222.108314674195,0.77,-85.54,-0.86,79.71,114.38,1.27,1.54,,alpha_v2,v2.1.0
bjft9g9a,executed,long,1711917000000,1711927800000,45417.35,45355.59,45317.34755193609,45617.34755193609,1.26,-61.76,-0.62,79.58,70.40,0.76,2.52,,alpha_v2,v2.1.0
7h20t7jj,executed,long,1708231500000,1708253100000,45972.69,45940.53,45872.687823023574,46172.687823023574,2.41,-32.16,-0.32,23.25,110.32,1.85,4.82,,alpha_v2,v2.1.0
q9cothzo,rejected,long,1711376100000,,44257.63,44121.22,44157.62694373556,44457.62694373556,1.59,-136.41,,,,,,time_of_day,alpha_v2,v2.1.0
qkpbhin5,rejected,short,1706678100000,,45320.42,45418.09,45420.41693297227,45120.41693297227,2.17,-97.67,,,,,,atr_limit,alpha_v2,v2.1.0
yzgnj1p3,rejected,short,1709013600000,,45842.02,45932.98,45942.0223067437,45642.0223067437,1.13,-90.96,,,,,,spread_filter,alpha_v2,v2.1.0
u1ig6vbk,executed,long,1704216600000,1704223800000,45031.30,45120.12,44931.29982279548,45231.29982279548,0.89,88.82,0.89,23.79,40.47,1.91,1.78,,alpha_v2,v2.1.0
kq4jqnt2,rejected,long,1707598800000,,45400.39,45251.54,45300.39478980602,45600.39478980602,1.70,-148.85,,,,,,htf_alignment,alpha_v2,v2.1.0
l0ntrk6s,rejected,long,1706143500000,,44152.69,44410.27,44052.69408090801,44352.69408090801,0.36,257.57,,,,,,spread_filter,alpha_v2,v2.1.0
